,0
2998,11
2999,38
3000,11
3001,31
3002,40
3003,7
3004,21
3005,7
3006,26
3007,7
3008,5
3009,43
3010,15
3011,6
3012,16
3013,17
3014,31
3015,22
3016,35
3017,37
3018,11
3019,38
3020,15
3021,7
3022,22
3023,15
3024,7
3025,16
3026,7
3027,34
3028,30
3029,6
3030,4
3031,29
3032,7
3033,41
3034,5
3035,30
3036,44
3037,16
3038,7
3039,36
3040,14
3041,22
3042,1
3043,6
3044,30
3045,33
3046,16
3047,2
3048,36
3049,1
3050,35
3051,32
3052,33
3053,34
3054,0
3055,2
3056,18
3057,28
3058,0
3059,17
3060,17
3061,15
3062,2
3063,1
3064,35
3065,34
3066,9
3067,6
3068,29
3069,16
3070,8
3071,8
3072,4
3073,7
3074,13
3075,8
3076,15
3077,24
3078,2
3079,15
3080,15
3081,0
3082,6
3083,27
3084,2
3085,2
3086,8
3087,33
3088,30
3089,13
3090,31
3091,37
3092,28
3093,5
3094,7
3095,12
3096,15
3097,1
3098,35
3099,13
3100,5
3101,2
3102,25
3103,12
3104,16
3105,26
3106,32
3107,24
3108,17
3109,12
3110,30
3111,14
3112,7
3113,45
3114,0
3115,11
3116,31
3117,7
3118,25
3119,0
3120,9
3121,29
3122,12
3123,7
3124,28
3125,3
3126,26
3127,5
3128,15
3129,31
3130,10
3131,3
3132,5
3133,17
3134,0
3135,24
3136,16
3137,28
3138,29
3139,21
3140,47
3141,21
3142,16
3143,30
3144,5
3145,41
3146,30
3147,38
3148,17
3149,22
3150,19
3151,0
3152,15
3153,28
3154,9
3155,8
3156,32
3157,41
3158,16
3159,3
3160,31
3161,0
3162,15
3163,2
3164,28
3165,3
3166,10
3167,15
3168,37
3169,3
3170,20
3171,11
3172,2
3173,0
3174,6
3175,4
3176,5
3177,23
3178,22
3179,10
3180,33
3181,24
3182,0
3183,17
3184,33
3185,4
3186,7
3187,37
3188,22
3189,6
3190,11
3191,2
3192,1
3193,30
3194,32
3195,25
3196,27
3197,17
3198,22
3199,33
3200,15
3201,29
3202,7
3203,36
3204,32
3205,26
3206,29
3207,5
3208,3
3209,10
3210,34
3211,3
3212,7
3213,49
3214,0
3215,34
3216,4
3217,22
3218,2
3219,10
3220,5
3221,3
3222,3
3223,19
3224,2
3225,7
3226,28
3227,9
3228,8
3229,1
3230,3
3231,29
3232,15
3233,50
3234,17
3235,6
3236,16
3237,41
3238,6
3239,18
3240,6
3241,37
3242,5
3243,29
3244,2
3245,0
3246,2
3247,0
3248,26
3249,37
3250,36
3251,24
3252,7
3253,16
3254,6
3255,23
3256,34
3257,3
3258,5
3259,4
3260,5
3261,32
3262,4
3263,3
3264,29
3265,3
3266,1
3267,3
3268,23
3269,29
3270,4
3271,5
3272,32
3273,33
3274,5
3275,11
3276,23
3277,1
3278,4
3279,17
3280,12
3281,7
3282,7
3283,35
3284,16
3285,24
3286,30
3287,35
3288,23
3289,28
3290,7
3291,3
3292,2
3293,41
3294,15
3295,15
3296,42
3297,21
3298,8
3299,26
3300,5
3301,1
3302,27
3303,6
3304,30
3305,3
3306,3
3307,0
3308,7
3309,15
3310,4
3311,6
3312,5
3313,19
3314,9
3315,10
3316,17
3317,9
3318,30
3319,7
3320,3
3321,30
3322,25
3323,5
3324,25
3325,19
3326,38
3327,4
3328,33
3329,17
3330,1
3331,15
3332,5
3333,2
3334,17
3335,15
3336,4
3337,16
3338,4
3339,8
3340,16
3341,26
3342,6
3343,2
3344,45
3345,34
3346,1
3347,9
3348,28
3349,23
3350,26
3351,34
3352,27
3353,6
3354,4
3355,17
3356,12
3357,0
3358,1
3359,8
3360,34
3361,5
3362,17
3363,2
3364,7
3365,14
3366,32
3367,3
3368,13
3369,48
3370,3
3371,38
3372,20
3373,35
3374,6
3375,8
3376,8
3377,17
3378,42
3379,28
3380,6
3381,3
3382,29
3383,8
3384,4
3385,12
3386,16
3387,4
3388,4
3389,17
3390,15
3391,22
3392,35
3393,5
3394,7
3395,17
3396,16
3397,39
3398,3
3399,24
3400,7
3401,0
3402,5
3403,29
3404,11
3405,34
3406,17
3407,30
3408,16
3409,6
3410,34
3411,15
3412,26
3413,1
3414,2
3415,4
3416,17
3417,2
3418,0
3419,24
3420,8
3421,2
3422,25
3423,18
3424,6
3425,33
3426,33
3427,17
3428,6
3429,6
3430,9
3431,16
3432,3
3433,35
3434,22
3435,5
3436,14
3437,30
3438,34
3439,17
3440,10
3441,33
3442,25
3443,35
3444,24
3445,1
3446,6
3447,32
3448,0
3449,36
3450,4
3451,2
3452,7
3453,1
3454,7
3455,4
3456,23
3457,41
3458,8
3459,32
3460,7
3461,39
3462,8
3463,3
3464,2
3465,17
3466,7
3467,15
3468,29
3469,31
3470,36
3471,30
3472,6
3473,17
3474,5
3475,17
3476,6
3477,7
3478,29
3479,4
3480,28
3481,11
3482,31
3483,17
3484,25
3485,23
3486,1
3487,9
3488,32
3489,21
3490,30
3491,7
3492,27
3493,33
3494,34
3495,8
3496,30
3497,15
3498,9
3499,2
3500,8
3501,33
3502,4
3503,16
3504,2
3505,17
3506,6
3507,25
3508,25
3509,22
3510,34
3511,0
3512,41
3513,3
3514,8
3515,23
3516,6
3517,16
3518,37
3519,40
3520,5
3521,29
3522,2
3523,2
3524,26
3525,5
3526,12
3527,36
3528,20
3529,40
3530,25
3531,36
3532,34
3533,0
3534,17
3535,17
3536,29
3537,15
3538,2
3539,13
3540,26
3541,0
3542,20
3543,17
3544,15
3545,15
3546,29
3547,25
3548,35
3549,31
3550,36
3551,43
3552,15
3553,30
3554,6
3555,6
3556,12
3557,1
3558,16
3559,15
3560,3
3561,39
3562,7
3563,0
3564,30
3565,29
3566,5
3567,11
3568,16
3569,10
3570,29
3571,4
3572,40
3573,33
3574,2
3575,2
3576,15
3577,34
3578,34
3579,1
3580,30
3581,2
3582,2
3583,7
3584,34
3585,28
3586,28
3587,6
3588,1
3589,16
3590,31
3591,16
3592,30
3593,15
3594,32
3595,8
3596,4
3597,4
3598,39
3599,31
3600,14
3601,4
3602,31
3603,16
3604,4
3605,3
3606,28
3607,0
3608,11
3609,6
3610,2
3611,23
3612,34
3613,42
3614,11
3615,34
3616,29
3617,30
3618,28
3619,13
3620,15
3621,17
3622,2
3623,17
3624,22
3625,2
3626,34
3627,32
3628,2
3629,17
3630,36
3631,16
3632,2
3633,10
3634,46
3635,7
3636,0
3637,17
3638,31
3639,1
3640,26
3641,15
3642,7
3643,17
3644,25
3645,28
3646,7
3647,2
3648,21
3649,38
3650,1
3651,15
3652,17
3653,42
3654,8
3655,0
3656,32
3657,2
3658,44
3659,27
3660,39
3661,2
3662,2
3663,7
3664,28
3665,26
3666,24
3667,0
3668,19
3669,15
3670,28
3671,30
3672,7
3673,15
3674,3
3675,21
3676,37
3677,7
3678,25
3679,44
3680,33
3681,41
3682,7
3683,29
3684,16
3685,15
3686,29
3687,0
3688,45
3689,5
3690,29
3691,2
3692,46
3693,1
3694,3
3695,13
3696,5
3697,30
3698,30
3699,5
3700,4
3701,4
3702,4
3703,34
3704,3
3705,5
3706,5
3707,5
3708,0
3709,5
3710,35
3711,15
3712,12
3713,16
3714,4
3715,27
3716,15
3717,15
3718,7
3719,29
3720,32
3721,23
3722,36
3723,9
3724,3
3725,7
3726,27
3727,29
3728,9
3729,0
3730,6
3731,7
3732,7
3733,38
3734,7
3735,24
3736,2
3737,33
3738,28
3739,28
3740,32
3741,14
3742,36
3743,22
3744,27
3745,42
3746,0
3747,43
3748,7
3749,0
3750,3
3751,7
3752,17
3753,11
3754,0
3755,33
3756,23
3757,11
3758,25
3759,21
3760,30
3761,10
3762,0
3763,2
3764,17
3765,40
3766,9
3767,6
3768,14
3769,4
3770,28
3771,33
3772,16
3773,26
3774,7
3775,7
3776,15
3777,33
3778,1
3779,4
3780,15
3781,18
3782,1
3783,16
3784,4
3785,47
3786,26
3787,4
3788,15
3789,12
3790,37
3791,15
3792,14
3793,2
3794,5
3795,15
3796,3
3797,27
3798,25
3799,1
3800,7
3801,9
3802,17
3803,29
3804,25
3805,16
3806,36
3807,29
3808,27
3809,29
3810,29
3811,0
3812,15
3813,0
3814,15
3815,4
3816,12
3817,26
3818,1
3819,22
3820,4
3821,0
3822,1
3823,8
3824,16
3825,9
3826,23
3827,15
3828,40
3829,4
3830,14
3831,25
3832,49
3833,26
3834,6
3835,0
3836,24
3837,17
3838,25
3839,37
3840,19
3841,30
3842,30
3843,17
3844,14
3845,34
3846,32
3847,5
3848,15
3849,25
3850,0
3851,15
3852,7
3853,15
3854,30
3855,7
3856,28
3857,31
3858,2
3859,16
3860,9
3861,6
3862,4
3863,26
3864,2
3865,22
3866,0
3867,3
3868,6
3869,38
3870,24
3871,2
3872,28
3873,20
3874,37
3875,16
3876,1
3877,35
3878,6
3879,6
3880,43
3881,16
3882,0
3883,6
3884,5
3885,27
3886,13
3887,46
3888,32
3889,16
3890,8
3891,16
3892,6
3893,39
3894,6
3895,34
3896,2
3897,43
3898,7
3899,40
3900,2
3901,2
3902,15
3903,2
3904,17
3905,6
3906,16
3907,15
3908,28
3909,32
3910,36
3911,34
3912,34
3913,15
3914,28
3915,4
3916,7
3917,13
3918,7
3919,2
3920,39
3921,15
3922,8
3923,20
3924,15
3925,29
3926,38
3927,14
3928,16
3929,5
3930,4
3931,2
3932,17
3933,29
3934,7
3935,34
3936,0
3937,33
3938,28
3939,40
3940,10
3941,15
3942,6
3943,15
3944,17
3945,0
3946,9
3947,27
3948,6
3949,9
3950,8
3951,19
3952,9
3953,6
3954,2
3955,31
3956,0
3957,29
3958,1
3959,0
3960,17
3961,0
3962,5
3963,1
3964,5
3965,4
3966,40
3967,45
3968,36
3969,5
3970,30
3971,17
3972,3
3973,10
3974,14
3975,14
3976,14
3977,35
3978,16
3979,36
3980,42
3981,2
3982,31
3983,7
3984,4
3985,16
3986,34
3987,16
3988,48
3989,17
3990,20
3991,3
3992,25
3993,9
3994,32
3995,19
3996,9
3997,2
3998,15
3999,9
4000,26
4001,17
4002,4
4003,39
4004,13
4005,30
4006,12
4007,4
4008,27
4009,27
4010,14
4011,0
4012,41
4013,25
4014,4
4015,31
4016,30
4017,29
4018,14
4019,0
4020,35
4021,16
4022,37
4023,15
4024,31
4025,4
4026,30
4027,36
4028,48
4029,28
4030,39
4031,15
4032,28
4033,40
4034,5
4035,14
4036,13
4037,42
4038,3
4039,4
4040,17
4041,45
4042,15
4043,40
4044,25
4045,16
4046,29
4047,17
4048,28
4049,15
4050,30
4051,43
4052,42
4053,3
4054,38
4055,26
4056,1
4057,27
4058,29
4059,7
4060,6
4061,24
4062,31
4063,37
4064,39
4065,5
4066,23
4067,8
4068,7
4069,3
4070,14
4071,6
4072,7
4073,7
4074,4
4075,22
4076,4
4077,4
4078,8
4079,2
4080,2
4081,30
4082,36
4083,17
4084,5
4085,10
4086,17
4087,5
4088,2
4089,2
4090,6
4091,4
4092,23
4093,4
4094,34
4095,10
4096,32
4097,6
4098,28
4099,24
4100,23
4101,35
4102,0
4103,5
4104,18
4105,4
4106,30
4107,9
4108,28
4109,17
4110,36
4111,28
4112,40
4113,34
4114,35
4115,14
4116,4
4117,3
4118,17
4119,4
4120,15
4121,17
4122,16
4123,34
4124,3
4125,8
4126,2
4127,29
4128,26
4129,36
4130,2
4131,17
4132,35
4133,45
4134,26
4135,12
4136,26
4137,41
4138,28
4139,27
4140,17
4141,17
4142,10
4143,0
4144,6
4145,22
4146,21
4147,36
4148,26
4149,4
4150,41
4151,32
